latitude, longitude, name
38.461,-74.703,44009
40.694,-72.048,44017
40.883,-73.728,44022
40.251,-73.164,44025
40.369,-73.703,44065
39.568,-72.586,44066
38.987,-75.113, BRND1
38.968,-74.96, CMAN4
40.467,-74.009, SDHN4
39.305,-75.377, SJSN4
39.817005,-74.213356, RUOYC
39.521417,-74.319033, RUTUC
39.314,-74.401, DOEFL
39.9695, -72.7160, NYE05
39.5467, -73.4294, NYE06
39.432,-74.1, WN1
39.351,-74.03, WN2
39.27,-73.961, WN3
39.19,-74.38, WS1
39.109,-74.31, WS2
39.028,-74.241, WS3
38.7321,-74.8286, WD1
38.6245,-74.69, WD2
38.5166,-74.6207, WD3
40.3747,-73.5617, WH1
40.2919,-73.3506, WH2
40.2362,-73.1748, WH3
38.732,-74.932,A1
38.732,-74.759,A2
38.733,-74.586,A3
38.733,-74.414,A4
38.732,-74.241,A5
38.732,-74.068,A6
38.731,-73.895,A7
38.73,-73.722,A8
38.729,-73.549,A9
38.921,-74.76,B1
38.921,-74.587,B2
38.921,-74.413,B3
38.921,-74.24,B4
38.921,-74.066,B5
38.92,-73.893,B6
38.919,-73.72,B7
38.918,-73.546,B8
38.916,-73.373,B9
39.11,-74.587,C1
39.11,-74.413,C2
39.11,-74.239,C3
39.11,-74.065,C4
39.109,-73.891,C5
39.108,-73.718,C6
39.106,-73.544,C7
39.105,-73.37,C8
39.103,-73.196,C9
39.299,-74.413,D1
39.299,-74.238,D2
39.298,-74.064,D3
39.298,-73.89,D4
39.297,-73.715,D5
39.295,-73.541,D6
39.294,-73.367,D7
39.292,-73.193,D8
39.29,-73.018,D9
39.488,-74.238,E1
39.487,-74.063,E2
39.486,-73.888,E3
39.485,-73.713,E4
39.484,-73.539,E5
39.483,-73.364,E6
39.481,-73.189,E7
39.479,-73.014,E8
39.476,-72.84,E9
39.676,-74.062,F1
39.675,-73.887,F2
39.674,-73.711,F3
39.673,-73.536,F4
39.671,-73.361,F5
39.67,-73.186,F6
39.668,-73.01,F7
39.665,-72.835,F8
39.663,-72.66,F9
39.865,-73.99,G1
39.864,-73.815,G2
39.863,-73.639,G3
39.861,-73.463,G4
39.86,-73.287,G5
39.858,-73.112,G6
39.856,-72.936,G7
39.853,-72.76,G8
39.85,-72.585,G9
40.053,-73.954,H1
40.052,-73.777,H2
40.051,-73.601,H3
40.05,-73.425,H4
40.048,-73.249,H5
40.046,-73.073,H6
40.044,-72.897,H7
40.041,-72.72,H8
40.039,-72.544,H9
40.242,-73.917,I1
40.241,-73.74,I2
40.24,-73.564,I3
40.238,-73.387,I4
40.237,-73.21,I5
40.235,-73.034,I6
40.232,-72.857,I7
40.23,-72.68,I8
40.227,-72.504,I9
40.431,-73.88,J1
40.43,-73.703,J2
40.428,-73.526,J3
40.427,-73.348,J4
40.425,-73.171,J5
40.423,-72.994,J6
40.421,-72.817,J7
40.418,-72.64,J8
40.415,-72.463,J9
